generator,time_us,relative_to_default
borosh13,1151580,1.22501
cmrg,2770989,2.94768
coveyou,550435,0.585534
fishman18,4909723,5.22279
fishman20,1928953,2.05195
fishman2x,2019929,2.14873
gfsr4,677135,0.720313
knuthran,612272,0.651314
knuthran2,6676944,7.1027
knuthran2002,2179046,2.31799
lecuyer21,1729885,1.84019
minstd,1930579,2.05368
mrg,1493628,1.58887
mt19937,918711,0.977293
mt19937_1999,1375451,1.46316
mt19937_1998,1024877,1.09023
r250,660993,0.703141
ran0,1476534,1.57069
ran1,1912388,2.03433
ran2,2213193,2.35432
ran3,551186,0.586333
rand,804407,0.8557
rand48,2574129,2.73827
random128-bsd,1162204,1.23631
random128-glibc2,1160462,1.23446
random128-libc5,1160670,1.23468
random256-bsd,1161504,1.23557
random256-glibc2,616685,0.656008
random256-libc5,554031,0.589359
random32-bsd,999511,1.06325
random32-glibc2,560436,0.596172
random32-libc5,556628,0.592122
random64-bsd,1136357,1.20882
random64-glibc2,1159667,1.23361
random64-libc5,1160489,1.23449
random8-bsd,1152164,1.22563
random8-glibc2,1152792,1.2263
random8-libc5,1152033,1.22549
random-bsd,1160647,1.23466
random-glibc2,1160977,1.23501
random-libc5,1160865,1.23489
randu,1181942,1.25731
ranf,4166736,4.43243
ranlux,12746159,13.5589
ranlux389,27231399,28.9678
ranlxd1,26697294,28.3997
ranlxd2,52398689,55.7399
ranlxs0,9617061,10.2303
ranlxs1,13829014,14.7108
ranlxs2,26045265,27.706
ranmar,2581946,2.74658
slatec,1469059,1.56273
taus,1159111,1.23302
taus2,1159028,1.23293
taus113,1176573,1.2516
transputer,1152409,1.22589
tt800,1289753,1.37199
uni,1155404,1.22908
uni32,1155579,1.22926
vax,1158258,1.23211
waterman14,1153411,1.22696
zuf,1800978,1.91582
