theta1,theta2,theta3
0.133858,0.542789,0.323353
0.117741,0.392864,0.489395
0.0174518,0.417233,0.565315
0.1052,0.216995,0.677805
0.161193,0.413671,0.425136
0.355812,0.365424,0.278765
0.239374,0.135884,0.624742
0.216525,0.452119,0.331356
0.263252,0.147745,0.589003
0.200561,0.504783,0.294656
0.551133,0.177995,0.270872
0.111274,0.304769,0.583958
0.108551,0.220969,0.67048
0.342838,0.176094,0.481068
0.416983,0.244654,0.338364
0.211908,0.571496,0.216596
0.415836,0.200503,0.383661
0.0601269,0.543722,0.396151
0.126978,0.544592,0.32843
0.272133,0.464913,0.262955
0.245044,0.197958,0.556997
0.201577,0.513051,0.285372
0.192759,0.326381,0.480859
0.0453845,0.323147,0.631469
0.129693,0.219558,0.650749
0.101469,0.198643,0.699889
0.218447,0.286966,0.494587
0.203482,0.447959,0.348559
0.117002,0.258835,0.624163
0.106233,0.389282,0.504485
0.291203,0.215998,0.492799
0.242476,0.0347334,0.722791
0.0339916,0.531793,0.434215
0.291729,0.383672,0.324599
0.316654,0.264029,0.419317
0.117886,0.232686,0.649428
0.125608,0.25219,0.622202
0.0954726,0.589358,0.315169
0.0490018,0.254762,0.696237
0.165094,0.423027,0.411879
0.101785,0.236421,0.661793
0.0346431,0.110149,0.855208
0.0441088,0.509871,0.44602
0.0680203,0.472506,0.459474
0.0428421,0.409313,0.547845
0.185499,0.311873,0.502628
0.118295,0.22129,0.660416
0.111682,0.3519,0.536419
0.179215,0.26295,0.557835
0.105011,0.23749,0.657499
0.237093,0.181991,0.580916
0.634923,0.216753,0.148324
0.0364884,0.143369,0.820142
0.102489,0.287874,0.609636
0.175295,0.380971,0.443735
0.341371,0.240779,0.41785
0.0751425,0.118947,0.80591
0.303571,0.405404,0.291025
0.346555,0.180585,0.472861
0.181364,0.282182,0.536454
0.273614,0.38812,0.338266
0.143225,0.382508,0.474267
0.297209,0.21961,0.483181
0.16063,0.260454,0.578916
0.158175,0.451539,0.390286
0.179301,0.214601,0.606098
0.187301,0.348962,0.463737
0.157961,0.311473,0.530566
0.276055,0.328066,0.395879
0.220742,0.309539,0.469719
0.4538,0.117262,0.428938
0.261221,0.293643,0.445136
0.218097,0.137288,0.644615
0.242151,0.296293,0.461556
0.242989,0.342183,0.414828
0.123142,0.387893,0.488965
0.275083,0.504875,0.220043
0.277973,0.148152,0.573875
0.2554,0.112463,0.632137
0.0472259,0.736101,0.216673
0.180919,0.374876,0.444205
0.110846,0.21158,0.677574
0.172462,0.264708,0.56283
0.0224161,0.196449,0.781135
