samples,estimate,uncertainty,errorbar
100,7.04,4.00499,2.00249
200,5.44,2.52415,1.26207
500,6.656,1.74741,0.873707
1000,6.656,1.23561,0.617804
2000,6.432,0.860555,0.430277
5000,6.8096,0.558171,0.279086
10000,6.3552,0.382802,0.191401
20000,6.3264,0.270136,0.135068
50000,6.18368,0.16912,0.0845598
100000,6.21952,0.119894,0.0599472
200000,6.2624,0.0850383,0.0425192
500000,6.23974,0.0536961,0.0268481
1000000,6.24525,0.0379838,0.0189919
2000000,6.2247,0.0268192,0.0134096
5000000,6.20218,0.0169345,0.00846726
10000000,6.20148,0.0119739,0.00598696
20000000,6.20871,0.00847124,0.00423562
