samples,method,estimate,uncertainty,abs_error,errorbar
100,standard_mc,0.950175,0.0949972,0.0498251,0.0474986
200,standard_mc,0.975181,0.0712814,0.0248189,0.0356407
500,standard_mc,0.967434,0.0446043,0.0325657,0.0223021
1000,standard_mc,0.976696,0.0310963,0.0233042,0.0155481
2000,standard_mc,0.973652,0.0219596,0.0263484,0.0109798
5000,standard_mc,0.986941,0.013742,0.0130587,0.00687099
10000,standard_mc,0.989659,0.00970847,0.0103408,0.00485424
20000,standard_mc,0.996927,0.00684617,0.0030734,0.00342308
50000,standard_mc,1.00053,0.00431652,0.000533007,0.00215826
100000,standard_mc,0.999915,0.00305595,8.52206e-05,0.00152798
200000,standard_mc,0.999447,0.00216419,0.000553021,0.0010821
500000,standard_mc,1.00012,0.00136877,0.000120873,0.000684385
1000000,standard_mc,1.00022,0.000967005,0.000222312,0.000483502
2000000,standard_mc,0.999991,0.000683622,8.66164e-06,0.000341811
5000000,standard_mc,1.00013,0.000432377,0.000133142,0.000216189
10000000,standard_mc,1.00005,0.000305757,5.06211e-05,0.000152879
20000000,standard_mc,1.00012,0.00021619,0.000116312,0.000108095
50000000,standard_mc,1.00004,0.000136723,3.52e-05,6.83616e-05
100000000,standard_mc,1.00001,9.66788e-05,1.27859e-05,4.83394e-05
200000000,standard_mc,0.999973,6.83648e-05,2.73231e-05,3.41824e-05
500000000,standard_mc,0.999976,4.32391e-05,2.43152e-05,2.16195e-05
100,mc_with_substitution,1.01523,0.0249518,0.0152336,0.0124759
200,mc_with_substitution,1.00543,0.0189101,0.00543013,0.00945507
500,mc_with_substitution,1.00846,0.0117557,0.00845516,0.00587786
1000,mc_with_substitution,1.00591,0.00827096,0.0059111,0.00413548
2000,mc_with_substitution,1.00706,0.00581923,0.0070555,0.00290961
5000,mc_with_substitution,1.00348,0.00366627,0.00348067,0.00183313
10000,mc_with_substitution,1.00296,0.00258507,0.00296147,0.00129253
20000,mc_with_substitution,1.00092,0.00182852,0.00092148,0.000914258
50000,mc_with_substitution,0.999966,0.00115483,3.36218e-05,0.000577415
100000,mc_with_substitution,1.00009,0.000817451,9.00336e-05,0.000408726
200000,mc_with_substitution,1.00012,0.000579104,0.000117038,0.000289552
500000,mc_with_substitution,0.999925,0.000366314,7.45552e-05,0.000183157
1000000,mc_with_substitution,0.999935,0.000258807,6.50996e-05,0.000129403
2000000,mc_with_substitution,1.00001,0.000182946,1.43856e-05,9.14731e-05
5000000,mc_with_substitution,0.999971,0.000115715,2.85681e-05,5.78574e-05
10000000,mc_with_substitution,0.999986,8.18326e-05,1.42632e-05,4.09163e-05
20000000,mc_with_substitution,0.999965,5.78654e-05,3.52474e-05,2.89327e-05
50000000,mc_with_substitution,0.999994,3.6593e-05,6.0512e-06,1.82965e-05
100000000,mc_with_substitution,1,2.58751e-05,2.43128e-07,1.29376e-05
200000000,mc_with_substitution,1.00001,1.82971e-05,9.69142e-06,9.14853e-06
500000000,mc_with_substitution,1.00001,1.15725e-05,6.98962e-06,5.78625e-06
