samples,method,estimate,uncertainty,abs_error,c_estimate,errorbar
100,standard_mc,0.314558,0.039631,0.00375187,0,0.0198155
1000,standard_mc,0.311179,0.0129498,0.00713102,0,0.00647489
10000,standard_mc,0.317461,0.00402871,0.000848762,0,0.00201435
100000,standard_mc,0.318825,0.00126661,0.000515103,0,0.000633307
1000000,standard_mc,0.318366,0.000400121,5.59398e-05,0,0.00020006
100,control_variate_mc,0.302028,0.0268394,0.0162816,0.53131,0.0134197
1000,control_variate_mc,0.314629,0.0079841,0.00368136,0.527361,0.00399205
10000,control_variate_mc,0.316824,0.00256309,0.00148568,0.521667,0.00128154
100000,control_variate_mc,0.318432,0.000810447,0.000122256,0.516424,0.000405224
1000000,control_variate_mc,0.318412,0.000256232,0.000102347,0.515409,0.000128116
