x,series,value
0,f(x),0
0,g(x),0
0,f(x)-g(x),0
0.002,f(x),1.25663e-05
0.002,g(x),0.007984
0.002,f(x)-g(x),-0.00797143
0.004,f(x),5.02642e-05
0.004,g(x),0.015936
0.004,f(x)-g(x),-0.0158857
0.006,f(x),0.000113091
0.006,g(x),0.023856
0.006,f(x)-g(x),-0.0237429
0.008,f(x),0.000201041
0.008,g(x),0.031744
0.008,f(x)-g(x),-0.031543
0.01,f(x),0.000314108
0.01,g(x),0.0396
0.01,f(x)-g(x),-0.0392859
0.012,f(x),0.000452282
0.012,g(x),0.047424
0.012,f(x)-g(x),-0.0469717
0.014,f(x),0.000615554
0.014,g(x),0.055216
0.014,f(x)-g(x),-0.0546004
0.016,f(x),0.000803909
0.016,g(x),0.062976
0.016,f(x)-g(x),-0.0621721
0.018,f(x),0.00101733
0.018,g(x),0.070704
0.018,f(x)-g(x),-0.0696867
0.02,f(x),0.00125581
0.02,g(x),0.0784
0.02,f(x)-g(x),-0.0771442
0.022,f(x),0.00151932
0.022,g(x),0.086064
0.022,f(x)-g(x),-0.0845447
0.024,f(x),0.00180784
0.024,g(x),0.093696
0.024,f(x)-g(x),-0.0918882
0.026,f(x),0.00212136
0.026,g(x),0.101296
0.026,f(x)-g(x),-0.0991746
0.028,f(x),0.00245983
0.028,g(x),0.108864
0.028,f(x)-g(x),-0.106404
0.03,f(x),0.00282325
0.03,g(x),0.1164
0.03,f(x)-g(x),-0.113577
0.032,f(x),0.00321157
0.032,g(x),0.123904
0.032,f(x)-g(x),-0.120692
0.034,f(x),0.00362478
0.034,g(x),0.131376
0.034,f(x)-g(x),-0.127751
0.036,f(x),0.00406283
0.036,g(x),0.138816
0.036,f(x)-g(x),-0.134753
0.038,f(x),0.00452569
0.038,g(x),0.146224
0.038,f(x)-g(x),-0.141698
0.04,f(x),0.00501333
0.04,g(x),0.1536
0.04,f(x)-g(x),-0.148587
0.042,f(x),0.0055257
0.042,g(x),0.160944
0.042,f(x)-g(x),-0.155418
0.044,f(x),0.00606277
0.044,g(x),0.168256
0.044,f(x)-g(x),-0.162193
0.046,f(x),0.0066245
0.046,g(x),0.175536
0.046,f(x)-g(x),-0.168912
0.048,f(x),0.00721083
0.048,g(x),0.182784
0.048,f(x)-g(x),-0.175573
0.05,f(x),0.00782172
0.05,g(x),0.19
0.05,f(x)-g(x),-0.182178
0.052,f(x),0.00845713
0.052,g(x),0.197184
0.052,f(x)-g(x),-0.188727
0.054,f(x),0.00911701
0.054,g(x),0.204336
0.054,f(x)-g(x),-0.195219
0.056,f(x),0.00980129
0.056,g(x),0.211456
0.056,f(x)-g(x),-0.201655
0.058,f(x),0.0105099
0.058,g(x),0.218544
0.058,f(x)-g(x),-0.208034
0.06,f(x),0.0112429
0.06,g(x),0.2256
0.06,f(x)-g(x),-0.214357
0.062,f(x),0.0120001
0.062,g(x),0.232624
0.062,f(x)-g(x),-0.220624
0.064,f(x),0.0127814
0.064,g(x),0.239616
0.064,f(x)-g(x),-0.226835
0.066,f(x),0.0135869
0.066,g(x),0.246576
0.066,f(x)-g(x),-0.232989
0.068,f(x),0.0144165
0.068,g(x),0.253504
0.068,f(x)-g(x),-0.239088
0.07,f(x),0.01527
0.07,g(x),0.2604
0.07,f(x)-g(x),-0.24513
0.072,f(x),0.0161475
0.072,g(x),0.267264
0.072,f(x)-g(x),-0.251117
0.074,f(x),0.0170488
0.074,g(x),0.274096
0.074,f(x)-g(x),-0.257047
0.076,f(x),0.0179739
0.076,g(x),0.280896
0.076,f(x)-g(x),-0.262922
0.078,f(x),0.0189227
0.078,g(x),0.287664
0.078,f(x)-g(x),-0.268741
0.08,f(x),0.0198952
0.08,g(x),0.2944
0.08,f(x)-g(x),-0.274505
0.082,f(x),0.0208912
0.082,g(x),0.301104
0.082,f(x)-g(x),-0.280213
0.084,f(x),0.0219107
0.084,g(x),0.307776
0.084,f(x)-g(x),-0.285865
0.086,f(x),0.0229536
0.086,g(x),0.314416
0.086,f(x)-g(x),-0.291462
0.088,f(x),0.0240198
0.088,g(x),0.321024
0.088,f(x)-g(x),-0.297004
0.09,f(x),0.0251092
0.09,g(x),0.3276
0.09,f(x)-g(x),-0.302491
0.092,f(x),0.0262218
0.092,g(x),0.334144
0.092,f(x)-g(x),-0.307922
0.094,f(x),0.0273574
0.094,g(x),0.340656
0.094,f(x)-g(x),-0.313299
0.096,f(x),0.028516
0.096,g(x),0.347136
0.096,f(x)-g(x),-0.31862
0.098,f(x),0.0296975
0.098,g(x),0.353584
0.098,f(x)-g(x),-0.323887
0.1,f(x),0.0309017
0.1,g(x),0.36
0.1,f(x)-g(x),-0.329098
0.102,f(x),0.0321286
0.102,g(x),0.366384
0.102,f(x)-g(x),-0.334255
0.104,f(x),0.0333781
0.104,g(x),0.372736
0.104,f(x)-g(x),-0.339358
0.106,f(x),0.0346501
0.106,g(x),0.379056
0.106,f(x)-g(x),-0.344406
0.108,f(x),0.0359445
0.108,g(x),0.385344
0.108,f(x)-g(x),-0.349399
0.11,f(x),0.0372612
0.11,g(x),0.3916
0.11,f(x)-g(x),-0.354339
0.112,f(x),0.0386
0.112,g(x),0.397824
0.112,f(x)-g(x),-0.359224
0.114,f(x),0.0399609
0.114,g(x),0.404016
0.114,f(x)-g(x),-0.364055
0.116,f(x),0.0413438
0.116,g(x),0.410176
0.116,f(x)-g(x),-0.368832
0.118,f(x),0.0427485
0.118,g(x),0.416304
0.118,f(x)-g(x),-0.373556
0.12,f(x),0.0441749
0.12,g(x),0.4224
0.12,f(x)-g(x),-0.378225
0.122,f(x),0.045623
0.122,g(x),0.428464
0.122,f(x)-g(x),-0.382841
0.124,f(x),0.0470926
0.124,g(x),0.434496
0.124,f(x)-g(x),-0.387403
0.126,f(x),0.0485836
0.126,g(x),0.440496
0.126,f(x)-g(x),-0.391912
0.128,f(x),0.0500958
0.128,g(x),0.446464
