samples,method,estimate,uncertainty,abs_error,errorbar
100,plain,306.183,96.0816,58.1325,48.0408
100,miser,328.066,100.853,80.0159,50.4264
100,vegas,246.508,11.7001,1.54176,5.85007
200,plain,289.959,59.479,41.909,29.7395
200,miser,234.814,51.0968,13.2363,25.5484
200,vegas,248.44,4.74447,0.3893,2.37224
500,plain,266.109,36.7975,18.0588,18.3988
500,miser,228.076,31.8828,19.9745,15.9414
500,vegas,247.705,2.82949,0.344787,1.41475
1000,plain,248.743,23.9991,0.693027,11.9995
1000,miser,274.831,26.1966,26.7805,13.0983
1000,vegas,246.642,2.2821,1.40781,1.14105
2000,plain,243.908,16.756,4.1426,8.37798
2000,miser,264.877,19.1935,16.8272,9.59675
2000,vegas,248.394,1.49227,0.34405,0.746135
5000,plain,246.95,10.85,1.1007,5.425
5000,miser,249.568,10.028,1.51804,5.014
5000,vegas,247.649,0.863237,0.401614,0.431619
10000,plain,245.685,7.6572,2.36544,3.8286
10000,miser,247.072,7.21184,0.977841,3.60592
10000,vegas,248.41,0.555766,0.359524,0.277883
20000,plain,253.771,5.52026,5.72058,2.76013
20000,miser,250.238,5.11085,2.1882,2.55542
20000,vegas,247.97,0.401492,0.079849,0.200746
50000,plain,247.036,3.41866,1.01448,1.70933
50000,miser,248.86,2.99521,0.809429,1.49761
50000,vegas,248.069,0.133806,0.0192794,0.0669029
100000,plain,249.624,2.43671,1.57342,1.21835
100000,miser,248.28,2.29079,0.229808,1.1454
100000,vegas,248.01,0.0785925,0.0403204,0.0392963
200000,plain,249.033,1.71177,0.983153,0.855883
200000,miser,247.84,1.56639,0.210196,0.783195
200000,vegas,248.077,0.0341655,0.0269533,0.0170827
500000,plain,248.27,1.08248,0.219645,0.541241
500000,miser,248.294,0.954829,0.243809,0.477415
500000,vegas,248.046,0.0193043,0.00400057,0.00965217
1000000,plain,248.154,0.764248,0.104215,0.382124
1000000,miser,247.789,0.667448,0.261466,0.333724
1000000,vegas,248.064,0.0136898,0.0142422,0.00684489
2000000,plain,247.928,0.540456,0.121841,0.270228
2000000,miser,247.915,0.45164,0.134827,0.22582
2000000,vegas,248.047,0.00971096,0.00317089,0.00485548
5000000,plain,248.042,0.341999,0.008144,0.170999
5000000,miser,248.058,0.30179,0.00791154,0.150895
5000000,vegas,248.048,0.00308855,0.00178121,0.00154427
10000000,plain,247.835,0.241622,0.214929,0.120811
10000000,miser,248.031,0.203127,0.019411,0.101563
10000000,vegas,248.05,0.00177411,0.000119555,0.000887056
20000000,plain,248.015,0.170972,0.0352025,0.0854861
20000000,miser,248.048,0.146442,0.00270803,0.0732209
20000000,vegas,248.05,0.000863284,0.000108152,0.000431642
50000000,plain,248.107,0.108127,0.057125,0.0540633
50000000,miser,248.09,0.0934921,0.0395338,0.0467461
50000000,vegas,248.05,0.000403353,5.78004e-05,0.000201677
