samples,repeat,estimate,uncertainty,abs_error
1000,0,2.05774,0.0944518,0.0577432
10000,0,2.00842,0.0301721,0.00842018
100000,0,1.99482,0.00956579,0.00518291
1000000,0,1.99958,0.00302228,0.000420258
1000,1,1.98549,0.0958214,0.0145134
10000,1,2.00245,0.0302065,0.00245116
100000,1,1.99739,0.00956121,0.00260681
1000000,1,2.00001,0.00302204,1.01399e-05
1000,2,1.99491,0.0956562,0.00508866
10000,2,2.01973,0.0301055,0.0197299
100000,2,2.00528,0.00954699,0.00527859
1000000,2,1.99893,0.00302265,0.00107371
1000,3,1.98549,0.0958214,0.0145134
10000,3,1.9814,0.0303236,0.0185975
100000,3,1.99142,0.00957178,0.00857583
1000000,3,2.00081,0.00302158,0.000814388
1000,4,1.98234,0.0958755,0.017655
10000,4,1.99585,0.0302439,0.00414619
100000,4,2.00248,0.00955206,0.00248257
1000000,4,2.00204,0.00302088,0.00203647
1000,5,1.96978,0.0960878,0.0302214
10000,5,2.01093,0.0301575,0.0109335
100000,5,1.99582,0.009564,0.0041776
1000000,5,2.00083,0.00302157,0.000830096
1000,6,2.0169,0.0952552,0.0169025
10000,6,2.02036,0.0301018,0.0203582
100000,6,2.00292,0.00955127,0.0029224
1000000,6,1.99922,0.00302249,0.000784683
1000,7,2.07659,0.0940547,0.0765927
10000,7,2.02224,0.0300905,0.0222432
100000,7,2.00226,0.00955246,0.00226266
1000000,7,1.99893,0.00302265,0.00106743
1000,8,1.9792,0.0959292,0.0207966
10000,8,1.99397,0.0302544,0.00603114
100000,8,1.99686,0.00956216,0.00314088
1000000,8,1.99935,0.00302241,0.000652736
1000,9,2.08916,0.0937806,0.0891591
10000,9,2.00873,0.0301703,0.00873434
100000,9,2.00179,0.00955331,0.00179142
1000000,9,1.99895,0.00302264,0.00105486
