experiment,inflection_day,infected_at_inflection,susceptible_at_inflection,recovered_at_inflection,max_daily_increase,peak_day,days_until_peak,peak_infected,remaining_growth,peak_to_inflection_ratio,final_susceptible,final_infectious,final_recovered,total_ever_infected,attack_fraction_percent,attack_fraction_non_vaccinated_percent
1,10,120,6770,110,18,21,11,169,49,1.40833,3229,0,3771,3771,37.71,53.8714
2,10,120,6770,110,18,18,8,138,18,1.15,3743,10,3247,3257,32.57,46.5286
3,10,120,6770,110,18,17,7,165,45,1.375,4135,0,2865,2865,28.65,40.9286
4,10,120,6770,110,18,21,11,163,43,1.35833,3708,0,3292,3292,32.92,47.0286
5,10,120,6770,110,18,24,14,177,57,1.475,3742,13,3245,3258,32.58,46.5429
6,10,120,6770,110,18,20,10,194,74,1.61667,3639,0,3361,3361,33.61,48.0143
7,10,120,6770,110,18,21,11,180,60,1.5,4190,0,2810,2810,28.1,40.1429
8,10,120,6770,110,18,23,13,176,56,1.46667,2492,1,4507,4508,45.08,64.4
9,10,120,6770,110,18,47,37,154,34,1.28333,3550,0,3450,3450,34.5,49.2857
10,10,120,6770,110,18,19,9,152,32,1.26667,2751,40,4209,4249,42.49,60.7
11,10,120,6770,110,18,19,9,139,19,1.15833,4416,0,2584,2584,25.84,36.9143
12,10,120,6770,110,18,16,6,175,55,1.45833,2145,44,4811,4855,48.55,69.3571
13,10,120,6770,110,18,78,68,178,58,1.48333,2857,0,4143,4143,41.43,59.1857
14,10,120,6770,110,18,22,12,176,56,1.46667,3310,27,3663,3690,36.9,52.7143
15,10,120,6770,110,18,26,16,176,56,1.46667,3133,0,3867,3867,38.67,55.2429
16,10,120,6770,110,18,24,14,181,61,1.50833,3635,0,3365,3365,33.65,48.0714
17,10,120,6770,110,18,20,10,159,39,1.325,4652,0,2348,2348,23.48,33.5429
18,10,120,6770,110,18,20,10,167,47,1.39167,4459,0,2541,2541,25.41,36.3
19,10,120,6770,110,18,77,67,172,52,1.43333,2533,11,4456,4467,44.67,63.8143
20,10,120,6770,110,18,24,14,170,50,1.41667,3214,1,3785,3786,37.86,54.0857
21,10,120,6770,110,18,21,11,212,92,1.76667,2179,0,4821,4821,48.21,68.8714
22,10,120,6770,110,18,42,32,167,47,1.39167,3616,0,3384,3384,33.84,48.3429
23,10,120,6770,110,18,20,10,170,50,1.41667,2730,0,4270,4270,42.7,61
24,10,120,6770,110,18,23,13,173,53,1.44167,4598,0,2402,2402,24.02,34.3143
25,10,120,6770,110,18,15,5,173,53,1.44167,3845,0,3155,3155,31.55,45.0714
26,10,120,6770,110,18,47,37,177,57,1.475,3328,0,3672,3672,36.72,52.4571
27,10,120,6770,110,18,21,11,168,48,1.4,3305,0,3695,3695,36.95,52.7857
28,10,120,6770,110,18,18,8,145,25,1.20833,3775,0,3225,3225,32.25,46.0714
29,10,120,6770,110,18,10,0,120,0,1,4054,30,2916,2946,29.46,42.0857
30,10,120,6770,110,18,24,14,194,74,1.61667,3370,0,3630,3630,36.3,51.8571
31,10,120,6770,110,18,18,8,176,56,1.46667,4771,16,2213,2229,22.29,31.8429
32,10,120,6770,110,18,56,46,177,57,1.475,3193,27,3780,3807,38.07,54.3857
33,10,120,6770,110,18,22,12,203,83,1.69167,4964,0,2036,2036,20.36,29.0857
34,10,120,6770,110,18,24,14,131,11,1.09167,3870,0,3130,3130,31.3,44.7143
35,10,120,6770,110,18,45,35,205,85,1.70833,3345,0,3655,3655,36.55,52.2143
36,10,120,6770,110,18,22,12,169,49,1.40833,4980,0,2020,2020,20.2,28.8571
37,10,120,6770,110,18,19,9,159,39,1.325,3328,50,3622,3672,36.72,52.4571
38,10,120,6770,110,18,70,60,194,74,1.61667,2948,0,4052,4052,40.52,57.8857
39,10,120,6770,110,18,79,69,153,33,1.275,2554,22,4424,4446,44.46,63.5143
40,10,120,6770,110,18,42,32,134,14,1.11667,4076,16,2908,2924,29.24,41.7714
