metric,mean,stddev,q025,median,q975,min,max
inflection_day,17.06,17.9696,2,10,70.05,1,112
infected_at_inflection,122.277,55.8946,35,120,241.2,21,260
peak_day,38.4033,19.1814,15,34,91.575,9,128
days_until_peak,21.3433,17.7585,1,18,60.1,0,117
peak_infected,200.247,42.6741,115.9,198,284.15,66,321
remaining_growth,77.97,54.1297,1.475,70,190.05,0,238
peak_to_inflection_ratio,2.06365,1.22496,1.00831,1.62868,5.38955,1,8.10714
final_susceptible,3154.16,782.166,1928.35,2997.5,4885.05,1674,5782
total_ever_infected,3845.84,782.166,2114.95,4002.5,5071.65,1218,5326
attack_fraction_percent,38.4584,7.82166,21.1495,40.025,50.7165,12.18,53.26
attack_fraction_non_vaccinated_percent,54.9406,11.1738,30.2136,57.1786,72.4521,17.4,76.0857
