experiment,series,day,susceptible,infectious,recovered,immune
1,experiment_1,0,6990,10,0,3000
1,experiment_1,1,6973,24,3,3003
1,experiment_1,2,6949,45,6,3006
1,experiment_1,3,6925,59,16,3016
1,experiment_1,4,6895,73,32,3032
1,experiment_1,5,6867,83,50,3050
1,experiment_1,6,6837,95,68,3068
1,experiment_1,7,6813,97,90,3090
1,experiment_1,8,6783,107,110,3110
1,experiment_1,9,6753,116,131,3131
1,experiment_1,10,6722,114,164,3164
1,experiment_1,11,6696,106,198,3198
1,experiment_1,12,6671,105,224,3224
1,experiment_1,13,6645,97,258,3258
1,experiment_1,14,6622,90,288,3288
1,experiment_1,15,6602,92,306,3306
1,experiment_1,16,6578,89,333,3333
1,experiment_1,17,6549,94,357,3357
1,experiment_1,18,6524,91,385,3385
1,experiment_1,19,6491,104,405,3405
1,experiment_1,20,6462,107,431,3431
1,experiment_1,21,6423,114,463,3463
1,experiment_1,22,6386,123,491,3491
1,experiment_1,23,6352,124,524,3524
1,experiment_1,24,6328,114,558,3558
1,experiment_1,25,6301,115,584,3584
1,experiment_1,26,6279,101,620,3620
1,experiment_1,27,6255,104,641,3641
1,experiment_1,28,6231,97,672,3672
1,experiment_1,29,6211,88,701,3701
1,experiment_1,30,6194,83,723,3723
1,experiment_1,31,6171,80,749,3749
1,experiment_1,32,6142,82,776,3776
1,experiment_1,33,6120,83,797,3797
1,experiment_1,34,6102,80,818,3818
1,experiment_1,35,6076,88,836,3836
1,experiment_1,36,6055,88,857,3857
1,experiment_1,37,6034,80,886,3886
1,experiment_1,38,6018,74,908,3908
1,experiment_1,39,6001,79,920,3920
1,experiment_1,40,5980,78,942,3942
1,experiment_1,41,5961,73,966,3966
1,experiment_1,42,5937,80,983,3983
1,experiment_1,43,5911,82,1007,4007
1,experiment_1,44,5886,88,1026,4026
1,experiment_1,45,5858,90,1052,4052
1,experiment_1,46,5829,100,1071,4071
1,experiment_1,47,5808,99,1093,4093
1,experiment_1,48,5788,96,1116,4116
1,experiment_1,49,5767,93,1140,4140
1,experiment_1,50,5741,102,1157,4157
