lattice_size,series,target_energy,temperature,mean_magnetization,mean_system_energy,mean_demon_energy
10,L=10,-184,1.46254,0.957536,-184.278,0.2776
10,L=10,-176,1.89708,0.930528,-176.553,0.5528
10,L=10,-168,2.05903,0.898526,-168.669,0.6692
10,L=10,-160,2.19333,0.862598,-160.77,0.77
10,L=10,-152,2.27892,0.82288,-152.836,0.836
10,L=10,-144,2.31934,0.7789,-144.868,0.8676
10,L=10,-136,2.36651,0.71775,-136.905,0.9048
10,L=10,-128,2.44368,0.658196,-128.966,0.9664
10,L=10,-120,2.45114,0.571576,-120.972,0.9724
10,L=10,-104,2.50261,0.40087,-105.014,1.014
10,L=10,-112,2.50507,0.498164,-113.016,1.016
10,L=10,-96,2.61204,0.342676,-97.1036,1.1036
10,L=10,-88,2.76548,0.28826,-89.2316,1.2316
10,L=10,-80,2.90395,0.250096,-81.3492,1.3492
10,L=10,-72,3.09928,0.208714,-73.518,1.518
10,L=10,-64,3.3148,0.185792,-65.7076,1.7076
10,L=10,-56,3.5883,0.165678,-57.9524,1.9524
10,L=10,-48,3.99271,0.145248,-50.3212,2.3212
10,L=10,-40,4.49096,0.127846,-42.784,2.784
10,L=10,-32,5.19168,0.118928,-35.446,3.446
10,L=10,-24,6.21907,0.107806,-28.432,4.432
20,L=20,-768,1.40882,0.978432,-768.248,0.2484
20,L=20,-736,1.87526,0.951958,-736.538,0.5376
20,L=20,-704,1.99714,0.921095,-704.624,0.624
20,L=20,-672,2.08014,0.886401,-672.685,0.6848
20,L=20,-640,2.16863,0.845508,-640.751,0.7512
20,L=20,-608,2.23504,0.790072,-608.802,0.802
20,L=20,-576,2.29483,0.722601,-576.848,0.8484
20,L=20,-544,2.30812,0.637205,-544.859,0.8588
20,L=20,-480,2.33461,0.393061,-480.88,0.8796
20,L=20,-512,2.3478,0.513808,-512.89,0.89
20,L=20,-448,2.49225,0.310803,-449.006,1.0056
20,L=20,-416,2.57317,0.237693,-417.072,1.0716
20,L=20,-384,2.66899,0.178885,-385.151,1.1508
20,L=20,-352,2.85521,0.159391,-353.308,1.3076
20,L=20,-320,3.05286,0.12466,-321.478,1.4776
20,L=20,-288,3.24472,0.110851,-289.646,1.6456
20,L=20,-256,3.52525,0.0942755,-257.896,1.8956
20,L=20,-224,3.88469,0.084201,-226.222,2.222
20,L=20,-192,4.43752,0.07387,-194.734,2.734
20,L=20,-160,5.07853,0.0644375,-163.338,3.3384
20,L=20,-128,6.07281,0.058317,-132.291,4.2908
20,L=20,-96,7.60999,0.0534385,-101.784,5.7844
20,L=20,-64,10.2247,0.048478,-72.3548,8.3548
20,L=20,-32,14.4603,0.045281,-44.5524,12.5524
40,L=40,-3072,1.62721,0.97725,-3072.37,0.3744
40,L=40,-2944,1.82871,0.950499,-2944.51,0.5056
40,L=40,-2816,1.97884,0.919335,-2816.61,0.6108
40,L=40,-2688,2.06174,0.88073,-2688.67,0.6712
40,L=40,-2560,2.17811,0.832681,-2560.76,0.7584
40,L=40,-2432,2.19647,0.770209,-2432.77,0.7724
40,L=40,-2304,2.24488,0.600871,-2304.81,0.8096
40,L=40,-2048,2.2743,0.349012,-2048.83,0.8324
40,L=40,-2176,2.32545,0.556217,-2176.87,0.8724
40,L=40,-1920,2.38263,0.254869,-1920.92,0.9176
40,L=40,-1792,2.54044,0.160649,-1793.04,1.0448
40,L=40,-1664,2.58631,0.122651,-1665.08,1.0824
40,L=40,-1536,2.68148,0.0901517,-1537.16,1.1612
40,L=40,-1408,2.84816,0.079582,-1409.3,1.3016
40,L=40,-1280,3.03442,0.0651684,-1281.46,1.4616
40,L=40,-1152,3.1811,0.056566,-1153.59,1.5896
40,L=40,-1024,3.55636,0.0464729,-1025.92,1.9236
40,L=40,-896,4.00097,0.0409814,-898.329,2.3288
40,L=40,-768,4.47002,0.0366806,-770.764,2.7644
40,L=40,-640,5.25342,0.0318538,-643.505,3.5048
40,L=40,-512,6.41013,0.0286215,-516.617,4.6168
40,L=40,-384,8.21799,0.0262179,-390.38,6.3796
40,L=40,-256,11.6736,0.0239819,-265.788,9.7876
40,L=40,-128,19.8545,0.022015,-145.922,17.9216
