lattice_size,series,temperature,mean_magnetization,mean_system_energy
10,L=10,1.5,0.98659,-195.122
10,L=10,1.7,0.969446,-189.556
10,L=10,1.9,0.937384,-180.506
10,L=10,2,0.910126,-174.024
10,L=10,2.05,0.890948,-170.28
10,L=10,2.1,0.869424,-166.239
10,L=10,2.15,0.839034,-160.871
10,L=10,2.2,0.784692,-153.54
10,L=10,2.25,0.77931,-150.565
10,L=10,2.3,0.702208,-141.096
10,L=10,2.35,0.69528,-138.615
10,L=10,2.4,0.620136,-129.848
10,L=10,2.45,0.576932,-123.33
10,L=10,2.5,0.526058,-117.092
10,L=10,2.55,0.50922,-114.485
10,L=10,2.6,0.4576,-108.154
10,L=10,2.7,0.40279,-100.13
10,L=10,2.8,0.337722,-92.3652
10,L=10,3,0.27099,-81.898
10,L=10,3.2,0.23162,-74.2652
10,L=10,3.5,0.196286,-66.3616
10,L=10,4,0.166422,-55.3776
20,L=20,1.5,0.98633,-780.205
20,L=20,1.7,0.970074,-759.262
20,L=20,1.9,0.937458,-723.129
20,L=20,2,0.907935,-696.671
20,L=20,2.05,0.892763,-682.118
20,L=20,2.1,0.868206,-664.212
20,L=20,2.15,0.832665,-642.652
20,L=20,2.2,0.79442,-619.675
20,L=20,2.25,0.722079,-588.739
20,L=20,2.3,0.646508,-557.78
20,L=20,2.35,0.544455,-523.782
20,L=20,2.4,0.467466,-496.868
20,L=20,2.45,0.384395,-469.881
20,L=20,2.5,0.310254,-446.889
20,L=20,2.55,0.264739,-424.827
20,L=20,2.6,0.255692,-414.755
20,L=20,2.7,0.196757,-384.847
20,L=20,2.8,0.168525,-362.348
20,L=20,3,0.138301,-326.978
20,L=20,3.2,0.11897,-297.809
20,L=20,3.5,0.100445,-263.806
20,L=20,4,0.0829375,-223.163
40,L=40,1.5,0.986464,-3121.78
40,L=40,1.7,0.970445,-3038.46
40,L=40,1.9,0.938587,-2896.02
40,L=40,2,0.910895,-2792.37
40,L=40,2.05,0.894916,-2733.74
40,L=40,2.1,0.872516,-2663.8
40,L=40,2.15,0.835969,-2576
40,L=40,2.2,0.790928,-2479.31
40,L=40,2.25,0.726645,-2362.27
40,L=40,2.3,0.484724,-2175.31
40,L=40,2.35,0.34004,-2041.54
40,L=40,2.4,0.239601,-1921.77
40,L=40,2.45,0.235984,-1854.86
40,L=40,2.5,0.146844,-1766.76
40,L=40,2.55,0.143703,-1703.32
40,L=40,2.6,0.127871,-1649.34
40,L=40,2.7,0.0953025,-1538.36
40,L=40,2.8,0.0814388,-1454.78
40,L=40,3,0.0695501,-1306.45
40,L=40,3.2,0.0575007,-1191.22
40,L=40,3.5,0.0491604,-1055.41
40,L=40,4,0.0415431,-891.042
